 C:\WinTA100\DIL805.PRO\Data\Quenching\2_Isabelle_CQ60_Homogeneizado_30min_06.06.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
   211         5.29122496        0.03285694       52.82012939       52.90032959
   212         5.31631708        0.03480225       53.12730789       53.15118790
   213         5.34138107        0.03405610       53.45534134       53.40185165
   214         5.36648321        0.03464236       53.57472992       53.65291214
   215         5.39157391        0.03493549       53.97457886       53.90386963
   216         5.41664982        0.03493549       54.19352341       54.15447235
   217         5.44172096        0.03664096       54.42375183       54.40522003
   218         5.46685123        0.03533521       54.65790939       54.65666962
   219         5.49200487        0.03746704       54.98460007       54.90810013
   220         5.51706314        0.03626788       55.21297455       55.15876007
   221         5.54210901        0.03741375       55.52013779       55.40919876
   222         5.56716013        0.03765358       55.64450836       55.65971756
   223         5.59226608        0.03746704       56.13793945       55.91069031
   224         5.61737108        0.03869285       56.21524811       56.16188049
   225         5.64242077        0.03762693       56.51483536       56.41229248
   226         5.66748095        0.03991866       56.81276321       56.66279602
   227         5.69264221        0.03837308       56.97961044       56.91434860
   228         5.71769810        0.03983871       57.26630020       57.16518021
   229         5.74284220        0.03954558       57.43299484       57.41641235
   230         5.76789093        0.04018514       57.50056458       57.66708755
   231         5.79296684        0.04095794       57.88881302       57.91776276
   232         5.81807089        0.04013184       58.02757263       58.16854858
   233         5.84309196        0.04181067       58.61483383       58.41905975
   234         5.86815596        0.04063816       58.43874741       58.66960907
   235         5.89323807        0.04207715       58.78907394       58.92026901
   236         5.91834021        0.04157083       59.09690857       59.17141724
   237         5.94340992        0.04282329       59.24367142       59.42222214
   238         5.96850491        0.04282329       59.83205032       59.67308044
   239         5.99356794        0.04245022       60.06364059       59.92370987
   240         6.01865292        0.04404910       60.17996597       60.17467117
   241         6.04367399        0.04319636       60.36087036       60.42485046
   242         6.06875896        0.04524825       60.72507477       60.67573166
   243         6.09382200        0.04399580       60.87389755       60.92630768
   244         6.11884785        0.04543479       61.08611679       61.17643738
   245         6.14392996        0.04490183       61.14487839       61.42738724
   246         6.16895914        0.04556803       61.65453720       61.67768097
   247         6.19405699        0.04671388       61.93161011       61.92869186
   248         6.21908522        0.04570127       62.16079330       62.17891312
   249         6.24418306        0.04761992       62.51679230       62.42988205
   250         6.26923513        0.04644741       62.78941345       62.68032074
   251         6.29427910        0.04809958       62.95278168       62.93083954
   252         6.31929016        0.04724685       63.12040329       63.18109131
   253         6.34440517        0.04791305       63.34216309       63.43183899
   254         6.36945200        0.04889902       63.67963028       63.68270111
   255         6.39451790        0.04804629       63.87805176       63.93329239
   256         6.41960621        0.05001823       64.16219330       64.18408203
   257         6.44468212        0.04855260       64.49224854       64.43492126
   258         6.46977377        0.05071109       64.75152588       64.68582153
   259         6.49483013        0.04953858       64.96175385       64.93651581
   260         6.51993084        0.05071109       65.38479614       65.18729401
   261         6.54501677        0.05089762       65.43907928       65.43827820
   262         6.57011223        0.05076438       65.50811005       65.68929291
   263         6.59515381        0.05199019       65.80351257       65.93966675
   264         6.62026978        0.05073773       66.34751129       66.19072723
   265         6.64532089        0.05292286       66.58825684       66.44128418
   266         6.67044878        0.05148388       66.67755127       66.69248199
   267         6.69553518        0.05300281       66.95579529       66.94351196
   268         6.72058296        0.05270969       67.33131409       67.19384766
   269         6.74565411        0.05324264       67.74836731       67.44451904
   270         6.77066422        0.05446845       67.82781982       67.69476318
   271         6.79576302        0.05348247       68.02315521       67.94577026
   272         6.82084513        0.05508135       68.14586639       68.19647980
   273         6.84590006        0.05404208       68.40717316       68.44704437
   274         6.87092590        0.05556102       68.53541565       68.69731903
   275         6.89601278        0.05516129       68.78723907       68.94812775
   276         6.92104721        0.05582749       69.23239899       69.19857788
   277         6.94609022        0.05614727       69.41540527       69.44895935
   278         6.97116089        0.05572091       69.69889069       69.69963074
   279         6.99619913        0.05723984       69.81041718       69.95018005
   280         7.02131510        0.05601403       70.21332550       70.20133209
   281         7.04636002        0.05827911       70.46147919       70.45166016
   282         7.07141209        0.05692006       70.62124634       70.70223999
   283         7.09645796        0.05838570       70.90404510       70.95271301
   284         7.12156200        0.05838570       71.33947754       71.20369720
   285         7.14663410        0.05862554       71.42651367       71.45445251
   286         7.17175484        0.05939832       71.83345032       71.70561981
   287         7.19683599        0.05835906       71.75854492       71.95633698
   288         7.22192192        0.06062413       72.20780182       72.20729065
   289         7.24700689        0.05953157       72.26275635       72.45819092
   290         7.27209806        0.06110379       72.60877991       72.70902252
   291         7.29715586        0.06046424       73.12947845       72.95966339
   292         7.32221079        0.06113044       73.28278351       73.21020508
   293         7.34730005        0.06174335       73.37229156       73.46102905
   294         7.37237597        0.06110379       73.80168915       73.71188354
   295         7.39742422        0.06315570       73.85615540       73.96228027
   296         7.42250204        0.06195653       74.07599640       74.21295166
   297         7.44762516        0.06355541       74.47830200       74.46421051
   298         7.47269297        0.06267603       74.75364685       74.71495819
   299         7.49773884        0.06371530       75.02355194       74.96533203
   300         7.52283382        0.06432819       75.36379242       75.21642303
   301         7.54789305        0.06411502       75.61470795       75.46697998
   302         7.57299423        0.06560730       76.02745056       75.71798706
   303         7.59804916        0.06427491       76.05665588       75.96854401
   304         7.62311077        0.06632680       76.28082275       76.21923828
   305         7.64822102        0.06515428       76.27693939       76.47029114
   306         7.67328310        0.06624685       76.67330170       76.72097015
   307         7.69835615        0.06622020       77.02577972       76.97171021
   308         7.72341490        0.06669987       77.37385559       77.22225952
   309         7.74850512        0.06781908       77.49950409       77.47305298
   310         7.77355909        0.06672651       77.75605011       77.72368622
   311         7.79862309        0.06896494       77.93455505       77.97438049
   312         7.82368612        0.06747266       78.12353516       78.22482300
   313         7.84875298        0.06912483       78.44702911       78.47561646
   314         7.87384176        0.06888500       78.77970886       78.72657776
   315         7.89888477        0.06949791       79.04502869       78.97683716
   316         7.92391586        0.06955120       79.35743713       79.22731018
   317         7.94902611        0.06907153       79.44973755       79.47831726
   318         7.97411203        0.07096354       79.62381744       79.72902679
   319         7.99919796        0.06949791       79.97534180       79.98010254
   320         8.02426910        0.07160310       80.28224182       80.23071289
   321         8.04934978        0.07035064       80.41490173       80.48149109
   322         8.07439518        0.07152315       80.69229126       80.73208618
   323         8.09948730        0.07200281       80.97367859       80.98297882
   324         8.12457085        0.07186957       81.27304077       81.23366547
   325         8.14963627        0.07304208       81.60394287       81.48445129
   326         8.17469025        0.07240254       81.82704163       81.73496246
   327         8.19979382        0.07397477       82.10506439       81.98593140
   328         8.22486973        0.07290885       82.26366425       82.23677826
   329         8.24997997        0.07488079       82.38952637       82.48794556
   330         8.27507210        0.07368164       82.72872925       82.73883057
   331         8.30010128        0.07450772       82.91211700       82.98904419
   332         8.32522392        0.07562693       83.45229340       83.24031067
   333         8.35026073        0.07466761       83.55180359       83.49068451
   334         8.37533474        0.07645302       83.63155365       83.74139404
   335         8.40037918        0.07538711       84.03653717       83.99186707
   336         8.42545128        0.07709258       84.05486298       84.24262238
   337         8.45052624        0.07658627       84.39572144       84.49327087
   338         8.47559643        0.07722581       84.94362640       84.74398804
   339         8.50064754        0.07746565       85.25140381       84.99459839
   340         8.52571774        0.07738570       85.35166168       85.24534607
   341         8.55080223        0.07903787       85.36723328       85.49613953
   342         8.57586384        0.07781208       85.57699585       85.74682617
   343         8.60094070        0.07986397       85.95587158       85.99745941
   344         8.62602329        0.07855821       86.40560913       86.24832153
   345         8.65111828        0.08002385       86.36311340       86.49894714
   346         8.67619514        0.08007715       86.71007538       86.74996948
   347         8.70125103        0.07997055       86.92307281       87.00056458
   348         8.72633743        0.08124966       87.29445648       87.25141907
   349         8.75138474        0.08021039       87.45800018       87.50178528
   350         8.77649498        0.08202245       87.68378448       87.75300598
   351         8.80151176        0.08122302       87.88471985       88.00314331
   352         8.82662010        0.08255541       88.16603851       88.25424194
   353         8.85171223        0.08186256       88.50147247       88.50524139
   354         8.87679863        0.08260870       88.71239471       88.75599670
   355         8.90184402        0.08322161       89.03991699       89.00646210
   356         8.92686939        0.08292848       89.40599823       89.25688934
   357         8.95188522        0.08474054       89.37480164       89.50697327
   358         8.97692871        0.08340815       89.75742340       89.75743103
   359         9.00200939        0.08519356       90.04801941       90.00814819
   360         9.02706432        0.08442077       90.45209503       90.25869751
   361         9.05211258        0.08559328       90.75009918       90.50925446
   362         9.07717228        0.08561993       90.86986542       90.75987244
   363         9.10223389        0.08522020       90.98068237       91.01107788
   364         9.12736225        0.08687238       91.31704712       91.26168060
   365         9.15246296        0.08593971       91.59513855       91.51268768
   366         9.17748833        0.08796494       91.78705597       91.76296234
   367         9.20262241        0.08668584       91.92329407       92.01411438
   368         9.22766781        0.08769847       92.20514679       92.26479340
   369         9.25270939        0.08767182       92.57279205       92.51521301
   370         9.27780342        0.08777841       92.65256500       92.76602936
   371         9.30286026        0.08911081       92.78964996       93.01673889
   372         9.32798767        0.08844461       93.22389984       93.26795959
   373         9.35303974        0.08999019       93.72286987       93.51837158
   374         9.37812233        0.08881768       93.82420349       93.76926422
   375         9.40315723        0.09068304       93.97792816       94.01969910
   376         9.42826843        0.09004349       94.35322571       94.27066040
   377         9.45333385        0.09086958       94.60557556       94.52142334
   378         9.47841167        0.09105611       94.73734283       94.77222443
   379         9.50349998        0.09102947       95.07912445       95.02297974
   380         9.52857971        0.09201545       95.24401093       95.27384949
   381         9.55367565        0.09145583       95.44850922       95.52486420
