 C:\WinTA100\DIL805.PRO\Data\Quenching\01_Pierre_CCT_0,15oCs-1_01.31.18.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
  2773      2359.21801758        0.29786426      649.74694824      649.61749268
  2774      2362.55126953        0.29646388      649.05914307      649.11749268
  2775      2365.88476563        0.29551041      648.52410889      648.61749268
  2776      2369.21850586        0.29428881      648.00402832      648.11743164
  2777      2372.55249023        0.29300761      647.61865234      647.61730957
  2778      2375.88574219        0.29214358      647.11578369      647.11730957
  2779      2379.22021484        0.29113051      646.67901611      646.61718750
  2780      2382.55371094        0.28940240      646.06060791      646.11712646
  2781      2385.88720703        0.28794244      645.66271973      645.61712646
  2782      2389.22045898        0.28660163      645.17968750      645.11712646
  2783      2392.55419922        0.28573754      644.47949219      644.61706543
  2784      2395.88745117        0.28442657      644.22918701      644.11706543
  2785      2399.22094727        0.28311557      643.52722168      643.61706543
  2786      2402.55517578        0.28174496      643.13275146      643.11694336
  2787      2405.88818359        0.28046376      642.61737061      642.61694336
  2788      2409.22241211        0.27983809      642.23999023      642.11682129
  2789      2412.55664063        0.27945071      641.54418945      641.61669922
  2790      2415.89062500        0.27742463      641.24530029      641.11657715
  2791      2419.22412109        0.27590507      640.67645264      640.61657715
  2792      2422.55737305        0.27477285      640.15417480      640.11657715
  2793      2425.89062500        0.27325332      639.67614746      639.61657715
  2794      2429.22436523        0.27232963      639.00573730      639.11651611
  2795      2432.55859375        0.27098888      638.64654541      638.61639404
  2796      2435.89184570        0.26943949      638.14135742      638.11639404
  2797      2439.22607422        0.26789013      637.69689941      637.61627197
  2798      2442.55957031        0.26744321      637.11499023      637.11627197
  2799      2445.89379883        0.26592362      636.59222412      636.61614990
  2800      2449.22705078        0.26401672      636.13964844      636.11614990
  2801      2452.56127930        0.26267591      635.61450195      635.61602783
  2802      2455.89428711        0.26249716      635.05242920      635.11602783
  2803      2459.22851563        0.26073924      634.56988525      634.61590576
  2804      2462.56250000        0.25954744      634.09515381      634.11584473
  2805      2465.89550781        0.25832579      633.52337646      633.61584473
  2806      2469.22900391        0.25728300      633.09051514      633.11584473
