 C:\WinTA100\DIL805.PRO\Data\Quenching\01_Isabelle_QP_Q328oC_P350oC_t10s_09.28.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
   189         9.47642422        0.08585886       94.75148010       94.75234985
   190         9.52657795        0.08695584       95.27333832       95.25382996
   191         9.57664585        0.08751772       95.66696930       95.75457764
   192         9.62676620        0.08893576       96.22369385       96.25573730
   193         9.67699432        0.08901602       96.79386139       96.75785828
   194         9.72711372        0.08949762       97.27809143       97.25923157
   195         9.77726173        0.09062137       97.87258148       97.76062012
   196         9.82741737        0.09080864       98.21599579       98.26216125
   197         9.87755394        0.09166483       98.77896118       98.76367188
   198         9.92764091        0.09316316       99.32992554       99.26451874
   199         9.97778702        0.09404609       99.80805969       99.76594543
   200        10.02792168        0.09412635      100.13504028      100.26729584
   201        10.07804966        0.09434040      100.84025574      100.76857758
   202        10.12815475        0.09543737      101.43589020      101.26957703
   203        10.17831039        0.09567818      101.85664368      101.77113342
   204        10.22836685        0.09674840      102.46502686      102.27179718
   205        10.27847862        0.09763132      102.66809082      102.77271271
   206        10.32860661        0.09886208      103.19498444      103.27404022
   207        10.37885571        0.09958449      103.73390198      103.77653503
   208        10.42902374        0.09987880      104.24463654      104.27806854
   209        10.47916412        0.10022663      104.60540009      104.77972412
   210        10.52927971        0.10062798      105.31494141      105.28084564
   211        10.57947063        0.10145739      105.73139954      105.78278351
   212        10.62960625        0.10231358      106.37184143      106.28419495
   213        10.67970562        0.10359786      106.78874969      106.78508759
   214        10.72983742        0.10399917      107.46047211      107.28645325
   215        10.77997303        0.10450753      107.80412292      107.78781128
   216        10.83012486        0.10488210      108.28490448      108.28940582
   217        10.88023663        0.10630017      108.72786713      108.79043579
   218        10.93038177        0.10584533      109.44329071      109.29199982
   219        10.98053837        0.10734362      109.93632507      109.79347229
   220        11.03064632        0.10798576      110.38417053      110.29454041
   221        11.08077240        0.10873493      110.62413025      110.79580688
   222        11.13092327        0.10943057      111.19065857      111.29737091
   223        11.18104744        0.11023323      111.84091187      111.79866028
   224        11.23126411        0.11068809      112.11122131      112.30068970
   225        11.28135300        0.11108942      112.79636383      112.80150604
   226        11.33151340        0.11207940      113.46951294      113.30322266
   227        11.38169861        0.11325663      113.72789764      113.80508423
   228        11.43185616        0.11419308      114.40119934      114.30664825
   229        11.48207188        0.11504927      114.78874969      114.80876923
   230        11.53223991        0.11502249      115.35603333      115.31051636
   231        11.58236122        0.11518303      115.76015472      115.81138611
   232        11.63252068        0.11633351      116.30307007      116.31329346
   233        11.68268681        0.11676161      117.08393097      116.81491852
   234        11.73287010        0.11780510      117.29521942      117.31674194
   235        11.78298092        0.11890208      117.78023529      117.81785583
   236        11.83308315        0.11991879      118.19370270      118.31870270
   237        11.88324356        0.11999905      118.91808319      118.82048035
   238        11.93335533        0.12066793      119.31601715      119.32173920
   239        11.98348522        0.12074820      119.84210968      119.82291412
   240        12.03361320        0.12176491      120.21868134      120.32424164
   241        12.08372688        0.12294216      120.88190460      120.82533264
   242        12.13385677        0.12366457      121.17111206      121.32649231
   243        12.18403339        0.12476154      121.77966309      121.82845306
   244        12.23412895        0.12543045      122.23776245      122.32932281
   245        12.28433514        0.12526990      122.95830536      122.83143616
   246        12.33440590        0.12588528      123.29634857      123.33209991
   247        12.38447857        0.12698229      123.81885529      123.83291626
   248        12.43463421        0.12813276      124.41732788      124.33432007
   249        12.48477364        0.12866788      124.96673584      124.83575439
   250        12.53486443        0.12992540      125.14731598      125.33669281
   251        12.58499622        0.13013944      125.94900513      125.83813477
   252        12.63512516        0.12989864      126.19824219      126.33930969
   253        12.68530273        0.13083509      126.82574463      126.84118652
   254        12.73548985        0.13137020      127.22919464      127.34278870
   255        12.78562355        0.13238692      127.76269531      127.84422302
   256        12.83575535        0.13377820      128.34394836      128.34562683
   257        12.88586235        0.13460763      128.83909607      128.84655762
   258        12.93600273        0.13498220      129.44694519      129.34811401
   259        12.98612976        0.13565110      129.99169922      129.84936523
   260        13.03627491        0.13597217      130.33657837      130.35078430
   261        13.08638191        0.13634674      130.74604797      130.85194397
   262        13.13655663        0.13717617      131.27163696      131.35362244
   263        13.18664932        0.13867448      131.80030823      131.85437012
   264        13.23678493        0.13939689      132.23878479      132.35597229
   265        13.28690243        0.14084169      132.74627686      132.85708618
   266        13.33705139        0.14054738      133.46017456      133.35852051
   267        13.38720894        0.14084169      133.71707153      133.86013794
   268        13.43736553        0.14137681      134.60636902      134.36180115
   269        13.48750496        0.14199220      134.70652771      134.86300659
   270        13.53761292        0.14341024      135.44552612      135.36424255
   271        13.58777046        0.14426640      135.88015747      135.86578369
