 C:\WinTA100\DIL805.PRO\Data\Quenching\03_Isabelle_CQ60_Homogeneizado_30min_II_09.01.17.PAR
                Time - rel. Change in Length /  Temperature  /  Nominal Temperature 
                  s                %                    °C                    °C
   192         4.81653023        0.02680594       48.03876877       48.15322876
   193         4.84164000        0.02730921       48.33802414       48.40447998
   194         4.86673117        0.02791843       48.49224472       48.65542984
   195         4.89183187        0.02757409       48.91239929       48.90631104
   196         4.91685200        0.02831576       49.25221634       49.15660095
   197         4.94192600        0.02831576       49.38420486       49.40736771
   198         4.96699286        0.02900445       49.65201187       49.65797806
   199         4.99204922        0.02926933       49.93864822       49.90860748
   200         5.01711988        0.02948123       50.09558487       50.15939331
   201         5.04219007        0.03019641       50.42721939       50.40984344
   202         5.06723404        0.02990504       50.65909195       50.66039276
   203         5.09230518        0.03064671       50.98787689       50.91113281
   204         5.11738777        0.03062022       51.18982697       51.16184235
   205         5.14246416        0.03152081       51.44823837       51.41269302
   206         5.16758490        0.03146784       51.64519501       51.66391754
   207         5.19267082        0.03167974       51.91151047       51.91481018
   208         5.21774578        0.03231546       52.21548843       52.16544342
   209         5.24283123        0.03258034       52.40798950       52.41628265
   210         5.26789808        0.03340147       52.73530579       52.66706085
   211         5.29296303        0.03313659       52.96117020       52.91766357
   212         5.31808519        0.03340147       53.14653397       53.16882324
   213         5.34316301        0.03390474       53.61427689       53.41970825
   214         5.36825085        0.03398421       53.71916199       53.67055893
   215         5.39329100        0.03512319       53.92786026       53.92098999
   216         5.41839790        0.03483183       54.22640991       54.17168045
   217         5.44345093        0.03544105       54.50344849       54.42245865
   218         5.46853113        0.03544105       54.65659332       54.67338943
   219         5.49363995        0.03586486       54.92523193       54.92441177
   220         5.51872015        0.03610325       55.13846207       55.17510986
   221         5.54376698        0.03644760       55.43152618       55.42573929
   222         5.56882191        0.03687140       55.62310410       55.67634964
   223         5.59389687        0.03697736       55.96119308       55.92700958
   224         5.61898184        0.03779849       56.18989944       56.17801285
   225         5.64407778        0.03774551       56.40480804       56.42879868
   226         5.66912889        0.03832825       56.67964172       56.67928314
   227         5.69419813        0.03827528       56.85402298       56.93006134
   228         5.71925306        0.03872557       57.18613815       57.18061829
   229         5.74431086        0.03933480       57.38437653       57.43114090
   230         5.76938820        0.03954670       57.72422409       57.68195343
   231         5.79446316        0.04012944       57.99750900       57.93273926
   232         5.81952810        0.04007646       58.17750549       58.18328857
   233         5.84454298        0.04097706       58.38695145       58.43352890
   234         5.86959314        0.04092409       58.75520325       58.68402863
   235         5.89463520        0.04121545       58.92460251       58.93432236
   236         5.91966486        0.04201010       59.20409012       59.18474197
   237         5.94471502        0.04227498       59.43349075       59.43524933
   238         5.96978807        0.04235444       59.71799850       59.68584061
   239         5.99484682        0.04256635       59.93359375       59.93658066
   240         6.01994801        0.04357289       60.26140213       60.18750000
   241         6.04502201        0.04299016       60.41705704       60.43827057
   242         6.07010412        0.04354640       60.63824844       60.68912125
   243         6.09520483        0.04420861       60.90271759       60.94013977
   244         6.12028122        0.04431456       61.24729156       61.19068909
   245         6.14537096        0.04492379       61.42790985       61.44180679
   246         6.17038298        0.04513569       61.73700333       61.69190979
   247         6.19546890        0.04595682       62.05934143       61.94274902
   248         6.22055817        0.04566545       62.24396133       62.19369888
   249         6.24562883        0.04643361       62.43739319       62.44440079
   250         6.27070284        0.04701634       62.64699936       62.69503021
   251         6.29572105        0.04685741       62.90833282       62.94534302
   252         6.32078695        0.04741366       63.14903259       63.19599915
   253         6.34585524        0.04749313       63.39369583       63.44647980
   254         6.37088585        0.04839373       63.65168762       63.69695282
   255         6.39596891        0.04815533       63.92689133       63.94773865
   256         6.42106724        0.04871158       64.09324646       64.19861603
   257         6.44612885        0.04889700       64.44522095       64.44945526
   258         6.47124481        0.04950622       64.67880249       64.70050049
   259         6.49633884        0.04995652       64.93575287       64.95158386
   260         6.52142096        0.04995652       65.18714142       65.20233154
   261         6.54645681        0.05096307       65.41461945       65.45266724
   262         6.57154512        0.05075116       65.63101959       65.70336914
   263         6.59663391        0.05112200       65.95251465       65.95436859
   264         6.62169218        0.05154581       66.12776947       66.20500946
   265         6.64677095        0.05167825       66.51779938       66.45574188
   266         6.67181921        0.05199610       66.77591705       66.70626831
   267         6.69690180        0.05215503       67.02845001       66.95694733
   268         6.72194195        0.05316158       67.21434784       67.20755768
   269         6.74704599        0.05310860       67.47087860       67.45848083
   270         6.77212477        0.05332051       67.78190613       67.70936584
   271         6.79722595        0.05406218       67.99117279       67.96028137
   272         6.82227516        0.05408866       68.21322632       68.21078491
   273         6.84733486        0.05464491       68.48203278       68.46137238
   274         6.87243223        0.05490979       68.65734100       68.71235657
   275         6.89750195        0.05570444       69.00798798       68.96302032
   276         6.92259312        0.05538658       69.23062897       69.21400452
   277         6.94768715        0.05591634       69.51784515       69.46495819
   278         6.97282982        0.05626069       69.71544647       69.71625519
   279         6.99793100        0.05663152       70.01942444       69.96741486
   280         7.02300215        0.05708181       70.18363953       70.21810150
   281         7.04807091        0.05702884       70.41189575       70.46885681
   282         7.07315302        0.05800890       70.60903168       70.71961212
   283         7.09820986        0.05755860       71.04381561       70.97017670
   284         7.12325716        0.05840622       71.15911865       71.22068024
   285         7.14832115        0.05837973       71.51713562       71.47129822
   286         7.17335320        0.05893598       71.80950928       71.72158813
   287         7.19847822        0.05912140       71.98328400       71.97280121
   288         7.22353983        0.05962467       72.10076904       72.22340393
   289         7.24861097        0.06023390       72.40377808       72.47420502
   290         7.27368784        0.06010146       72.66214752       72.72490692
   291         7.29875422        0.06065771       73.02584839       72.97568512
   292         7.32382584        0.06097556       73.23638916       73.22634125
   293         7.34894705        0.06145234       73.53333282       73.47750854
   294         7.37401104        0.06137289       73.69764709       73.72814941
   295         7.39910412        0.06134640       73.95394135       73.97915649
   296         7.42416286        0.06285622       74.19512939       74.22974396
   297         7.44919395        0.06240592       74.38177490       74.47991943
   298         7.47424412        0.06320056       74.72105408       74.73056030
   299         7.49934196        0.06341247       74.95512390       74.98144531
   300         7.52444077        0.06404818       75.23196411       75.23239136
   301         7.54951096        0.06383628       75.46437836       75.48316193
   302         7.57460594        0.06426008       75.70237732       75.73422241
   303         7.59969807        0.06534610       76.03725433       75.98492432
   304         7.62478495        0.06500175       76.34928131       76.23596954
   305         7.64985514        0.06550502       76.46524811       76.48667908
   306         7.67496300        0.06561098       76.74002075       76.73754120
   307         7.70004702        0.06637913       77.01985168       76.98854065
   308         7.72513199        0.06643211       77.20104218       77.23925018
   309         7.75020599        0.06677645       77.56549072       77.49021149
   310         7.77524710        0.06759758       77.80576324       77.74050903
   311         7.80035400        0.06762407       78.01143646       77.99162292
   312         7.82540321        0.06831276       78.26233673       78.24211121
   313         7.85045481        0.06815384       78.52440643       78.49257660
   314         7.87553215        0.06894848       78.82377625       78.74345398
   315         7.90062094        0.06937228       79.03561401       78.99430847
   316         7.92567921        0.06955770       79.18620300       79.24491119
   317         7.95078278        0.06979609       79.42038727       79.49591827
   318         7.97582006        0.07016692       79.63567352       79.74626923
   319         8.00084591        0.07088210       80.04265594       79.99648285
   320         8.02588367        0.07074966       80.19327545       80.24694824
   321         8.05095959        0.07122645       80.59812927       80.49763489
   322         8.07601738        0.07146484       80.79940796       80.74814606
   323         8.10107517        0.07165026       80.96517181       80.99884033
   324         8.12616062        0.07249787       81.25402832       81.24977875
   325         8.15122414        0.07228597       81.52956390       81.50035858
   326         8.17628479        0.07297466       81.74707794       81.75094604
   327         8.20129490        0.07308061       81.97523499       82.00173950
   328         8.22642040        0.07387526       82.21961212       82.25235748
   329         8.25150681        0.07361038       82.60784149       82.50314331
   330         8.27660561        0.07424609       82.78141022       82.75410461
   331         8.30287075        0.07466990       83.06821442       83.01603699
   332         8.32791996        0.07474937       83.27962494       83.26731873
   333         8.35294437        0.07535858       83.49161530       83.51753998
   334         8.37799454        0.07533211       83.88442230       83.76789093
   335         8.40308094        0.07623269       84.03063202       84.01889801
   336         8.42816830        0.07644460       84.21812439       84.26989746
   337         8.45329380        0.07670949       84.53344727       84.52098083
   338         8.47835445        0.07734519       84.73988342       84.77165222
   339         8.50345516        0.07715978       85.01448822       85.02258301
   340         8.52851295        0.07811335       85.27341461       85.27321625
   341         8.55357742        0.07766306       85.46489716       85.52389526
   342         8.57864761        0.07856365       85.74783325       85.77456665
